Time Period,Trip Type,Fare Evasion,Ridership
2019-Q1,Local,25,114656968
2019-Q2,Local,27.9,121011422
2019-Q3,Local,21,115830407
2019-Q4,Local,20.6,114758496
2020-Q1,Local,21.1,94516835
2020-Q2,Local,,50240
2020-Q3,Local,,20319469
2020-Q4,Local,23.3,58410040
2020-Q4,Express,4.7,904829
2021-Q1,Local,23.6,54882761
2021-Q1,Express,6.4,864625
2021-Q1,SBS,33.8,8377749
2021-Q2,Local,23.8,66295766
2021-Q2,Express,5.4,1109559
2021-Q2,SBS,31.1,10490334
2021-Q3,Local,25.2,70182147
2021-Q3,Express,7.3,1282027
2021-Q3,SBS,32.1,11109776
2021-Q4,Local,29.3,74133318
2021-Q4,Express,6,1484947
2021-Q4,SBS,36.3,11680580
2022-Q1,Local,31.5,67236084
2022-Q1,Express,6.3,1505581
2022-Q1,SBS,40.3,10026402
2022-Q2,Local,32.6,75707517
2022-Q2,Express,6.2,1798055
2022-Q2,SBS,39.1,11722920
2022-Q3,Local,32.9,74737479
2022-Q3,Express,6.2,1834530
2022-Q3,SBS,41.3,11283569
2022-Q4,Local,36.3,74222923
2022-Q4,Express,6.1,1915174
2022-Q4,SBS,45.6,11102729
2023-Q1,Local,37.7,73505387
2023-Q1,Express,5.9,2025885
2023-Q1,SBS,46.5,11237493
2023-Q2,Local,39.8,75611114
2023-Q2,Express,6.1,2108869
2023-Q2,SBS,44.5,11767213
2023-Q3,Local,41,71266876
2023-Q3,Express,6.4,2035532
2023-Q3,SBS,48.3,10959472
2023-Q4,Local,45.4,67727952
2023-Q4,Express,6.2,2098874
2023-Q4,SBS,53.9,10400391
2024-Q1,Local,46.9,64695852
2024-Q1,Express,4.5,2139033
2024-Q1,SBS,56.6,9857146
2024-Q2,Local,48.6,66801578
2024-Q2,Express,4.7,2196370
2024-Q2,SBS,57.6,10679616
